note,depth,environment,sample_type,title,description,decimalLatitude,decimalLongitude,locality,relativeOrganismQuantity,datasetKey,sequence_type,reference
,,marine,fluids,"Diversity of bacterioneuston and bacterioplankton in coastal waters of Misaki, Japan","Deep sequencing of environmental DNA from surface microlayer obtained using polycarbonate membrane (depth= 33 micrometer), glass plate (depth=42 micrometer) and drum sampler (depth=35 micrometer). The bacterial communities obtained using these three surface microlayer samplers were compared to control underlying water obtained from the depth of 20 cm.",35.16,139.61,"Kanagawa, Aburatsubo Inlet",7.12E-05,b388474c-79b5-40a1-be79-b270fab02a6f,16s SSU,
,surface,other,soil,Fluctuating redox regimes raw sequence reads,"Evaluate the changes in the active microbial community due to fluctuating, stable oxic and stable anoxic redox conditions.",53.15,13.02,"Lake Stechlin, deepest point",0.006156761,a925a78d-bb92-449e-a5c0-cc8536b805e7,16s SSU,
,surface,other,soil,Soil marker gene sequences across the Nutrient Network,Raw microbial marker gene sequences (16S rRNA and ITS) from soil samples across the Nutrient Network,32.88,-117.05,NA,6.47E-05,dabb020c-9e4e-4e61-b058-bec11779f71b,16s SSU,
,surface,other,soil,Soil marker gene sequences across the Nutrient Network,Raw microbial marker gene sequences (16S rRNA and ITS) from soil samples across the Nutrient Network,36.87,-86.7,NA,5.62E-05,dabb020c-9e4e-4e61-b058-bec11779f71b,16s SSU,
,surface,other,soil,Soil marker gene sequences across the Nutrient Network,Raw microbial marker gene sequences (16S rRNA and ITS) from soil samples across the Nutrient Network,39.05,-99.1,NA,5.89E-06,dabb020c-9e4e-4e61-b058-bec11779f71b,16s SSU,
,surface,other,soil,Soil marker gene sequences across the Nutrient Network,Raw microbial marker gene sequences (16S rRNA and ITS) from soil samples across the Nutrient Network,39.24,-121.28,NA,9.84E-06,dabb020c-9e4e-4e61-b058-bec11779f71b,16s SSU,
,surface,other,soil,Soil marker gene sequences across the Nutrient Network,Raw microbial marker gene sequences (16S rRNA and ITS) from soil samples across the Nutrient Network,39.43,-120.24,NA,6.32E-06,dabb020c-9e4e-4e61-b058-bec11779f71b,16s SSU,
,surface,other,soil,Soil marker gene sequences across the Nutrient Network,Raw microbial marker gene sequences (16S rRNA and ITS) from soil samples across the Nutrient Network,40.82,-104.77,NA,1.25E-05,dabb020c-9e4e-4e61-b058-bec11779f71b,16s SSU,
,surface,other,soil,Soil marker gene sequences across the Nutrient Network,Raw microbial marker gene sequences (16S rRNA and ITS) from soil samples across the Nutrient Network,41.2,-101.63,NA,6.91E-06,dabb020c-9e4e-4e61-b058-bec11779f71b,16s SSU,
,surface,other,soil,Soil marker gene sequences across the Nutrient Network,Raw microbial marker gene sequences (16S rRNA and ITS) from soil samples across the Nutrient Network,41.79,-93.39,NA,2.89E-06,dabb020c-9e4e-4e61-b058-bec11779f71b,16s SSU,
,surface,other,soil,Soil marker gene sequences across the Nutrient Network,Raw microbial marker gene sequences (16S rRNA and ITS) from soil samples across the Nutrient Network,42.72,-119.5,NA,7.53E-06,dabb020c-9e4e-4e61-b058-bec11779f71b,16s SSU,
,surface,other,soil,Soil marker gene sequences across the Nutrient Network,Raw microbial marker gene sequences (16S rRNA and ITS) from soil samples across the Nutrient Network,44.24,-112.2,NA,3.64E-06,dabb020c-9e4e-4e61-b058-bec11779f71b,16s SSU,
,surface,other,soil,Soil marker gene sequences across the Nutrient Network,Raw microbial marker gene sequences (16S rRNA and ITS) from soil samples across the Nutrient Network,48.46,-123.38,NA,1.69E-06,dabb020c-9e4e-4e61-b058-bec11779f71b,16s SSU,
,surface,other,soil,Soil marker gene sequences across the Nutrient Network,Raw microbial marker gene sequences (16S rRNA and ITS) from soil samples across the Nutrient Network,53.99,-2.63,NA,1.41E-06,dabb020c-9e4e-4e61-b058-bec11779f71b,16s SSU,
,,marine,fluids,Polyamine-transforming bacterioplankton in seawater,This study investigated the taxonomic compositions of PA-transforming bacterioplankton in surface seawater collected from nearshore to shelf break stations on the South Atlantic Bight of the United States.,31.24,-80.51,NA,1.54E-04,dc2d5aa2-70da-429c-bbcd-940e37dcfa9a,16s SSU,
,,marine,fluids,Marine metagenomes from the bioGEOTRACES project,Marine metagenomes from the bioGEOTRACES project Metagenome,-32.5,-160.99,NA,1.31E-05,3de01c29-b3d4-4eeb-bd5c-b2bb475566cc,16s SSU,
,,marine,fluids,Marine metagenomes from the bioGEOTRACES project,Marine metagenomes from the bioGEOTRACES project Metagenome,-32.49,-170,NA,4.76E-05,3de01c29-b3d4-4eeb-bd5c-b2bb475566cc,16s SSU,
,,marine,fluids,Marine metagenomes from the bioGEOTRACES project,Marine metagenomes from the bioGEOTRACES project Metagenome,27.58,-49.63,NA,3.20E-05,3de01c29-b3d4-4eeb-bd5c-b2bb475566cc,16s SSU,
cold,,glacial,fluids,Aldegondabreen cryoconite Targeted Locus,"The aggregation of surface debris (cryoconite) on melting glaciers into larger may provide microenvironments for various microorganisms and metabolic processes. Here we investigate the microbial community on the surface of Aldegondabreen, a valley glacier in Svalbard which is supplied with carbon and nutrients from different sources across its surface, including colonies of seabirds. We used a combination of geochemical analysis (surface debris, ice and meltwater), quantitative PCR (targeting the 16S rRNA and amoA genes), pyrosequencing and multivariate statistical analysis to better understand the ecology of prokaryotic microbes on the surface on Aldegondabreen and their role in nitrogen cycling. The combination of high nutrient input, supraglacial melt water flow and the presence of fine, claylike particles supports the formation of cmscale cryoconite aggregates in some areas of the glacier surface. We show that a diverse microbial community is present, dominated by the cyanobacteria, Proteobacteria, Bacteroidetes, and Actinobacteria, that are wellknown in supraglacial environments. Allochthonous material including plant tissuederived chloroplasts was also identified in the molecular analysis. Importantly, ammonia oxidizing archaea (AOA) were detected in the aggregates for the first time on an Arctic glacier.",77.97,14.08,Aldegondabreen,6.90E-06,6721656b-fb64-43a5-97cc-827ea700ef77,16s SSU,
cold,,glacial,fluids,Aldegondabreen cryoconite Targeted Locus,"The aggregation of surface debris (cryoconite) on melting glaciers into larger may provide microenvironments for various microorganisms and metabolic processes. Here we investigate the microbial community on the surface of Aldegondabreen, a valley glacier in Svalbard which is supplied with carbon and nutrients from different sources across its surface, including colonies of seabirds. We used a combination of geochemical analysis (surface debris, ice and meltwater), quantitative PCR (targeting the 16S rRNA and amoA genes), pyrosequencing and multivariate statistical analysis to better understand the ecology of prokaryotic microbes on the surface on Aldegondabreen and their role in nitrogen cycling. The combination of high nutrient input, supraglacial melt water flow and the presence of fine, claylike particles supports the formation of cmscale cryoconite aggregates in some areas of the glacier surface. We show that a diverse microbial community is present, dominated by the cyanobacteria, Proteobacteria, Bacteroidetes, and Actinobacteria, that are wellknown in supraglacial environments. Allochthonous material including plant tissuederived chloroplasts was also identified in the molecular analysis. Importantly, ammonia oxidizing archaea (AOA) were detected in the aggregates for the first time on an Arctic glacier.",77.97,14.09,Aldegondabreen,1.86E-05,6721656b-fb64-43a5-97cc-827ea700ef77,16s SSU,
cold,,glacial,fluids,Bacterial biogeography of a High Arctic ice cap,"This study investigates the roles of dispersal, environmental and biotic filtration in bacterial assemblies, in order to understand the environmental influences in cryoconite ecosystems. Foxfonna dome is used as a model ecosystem to observe the bacterial biogeography of an ice cap.",78.08,16.07,Foxfonna Ice Cap,4.61E-05,481360ed-3ba8-4af8-89b8-8a3162f73e41,16s SSU,
,surface,river,fluids,uncultured prokaryote Targeted loci environmental,Survey of biofilm bacterial community diversity (16S rRNA) in New Zealand streams,-41.1,175.5,"Wellington Region, Parkvale Stream",1.88E-05,921ae6e9-d890-4826-b6ff-aef43cdcb409,16s SSU,
,surface,river,fluids,uncultured prokaryote Targeted loci environmental,Survey of biofilm bacterial community diversity (16S rRNA) in New Zealand streams,-38.9,177.2,"Hawkes Bay Region, Waikaretaheke",3.45E-05,921ae6e9-d890-4826-b6ff-aef43cdcb409,16s SSU,
,surface,river,fluids,uncultured prokaryote Targeted loci environmental,Survey of biofilm bacterial community diversity (16S rRNA) in New Zealand streams,-37.7,174.9,"Waikato Region, Trib of Mangatia Stream",8.08E-05,921ae6e9-d890-4826-b6ff-aef43cdcb409,16s SSU,
,surface,river,fluids,uncultured prokaryote Targeted loci environmental,Survey of biofilm bacterial community diversity (16S rRNA) in New Zealand streams,-37.1,174.6,"Auckland Region, Kauriotahi",3.27E-05,921ae6e9-d890-4826-b6ff-aef43cdcb409,16s SSU,
,surface,river,fluids,uncultured prokaryote Targeted loci environmental,Survey of biofilm bacterial community diversity (16S rRNA) in New Zealand streams,-36.7,174.7,"Auckland Region, Okura Reserve",3.52E-05,921ae6e9-d890-4826-b6ff-aef43cdcb409,16s SSU,
,surface,river,fluids,uncultured prokaryote Targeted loci environmental,Survey of biofilm bacterial community diversity (16S rRNA) in New Zealand streams,-36.7,174.7,"Auckland Region, Oteha",2.81E-05,921ae6e9-d890-4826-b6ff-aef43cdcb409,16s SSU,
,,marine,fluids,Nahant Collection,"This collection includes whole genome sequences of purified isolates of marine bacteria, isolated on Vibrio-selective media, and viruses infecting a subset of these strains. All derive from seawater collected in the marine littoral zone at Canoe Cove in Nahant, MA, USA.",42.25,-70.54,"Massachusetts, Nahant, Canoe Cove",4.68E-04,d56e1889-ab4e-4637-8446-558579902075,16s SSU,
,,other,sediment,Rifle sediment bacterial community Targeted Locus (Loci),"The objective of the research at the Rifle site is to gain a comprehensive and mechanistic understanding of the microbial factors and associated geochemistry controlling uranium mobility at the field scale so that DOE can confidently remediate uranium plumes as well as support stewardship of uranium-contaminated sites. This subproject focuses on near-full-length amplification, high-throughput sequencing, and assembly of the bacterial 16S rRNA gene for community characterization.",39.53,-107.77,CO Rifle Department of Energy Integrated Field Research Challenge site,0.001284935,415860c4-137b-4617-9d10-a51885e35491,16s SSU,
,,lake,sediment,Surface Diatom Sediments of Deep Freshwater Lake Baikal,"In this work we analyzed the structure and diversity of bacterial and archaeal communities in the surface sediment core. Microscopy has shown that this core is rich in siliceous diatom valves (frustules), whose degrees of preservation varied with the depth and diatom species as revealed by SEM. Pyrosequencing targeting bacterial V3-V4 and archaeal V1-V3 regions of 16S rRNA were performed to profile procaryotic community structure.",51.8,104.91,"Siberia, South Baikal, depth 1458 m",4.65E-04,fde6738c-0363-4f9e-99c5-4c46ed0d3e78,16s SSU,
,,wetland,sediment,Reciprocal transplantation experiment of salt marsh sediments Targeted loci,A reciprocal transplant experiment of rhizome associated bacterial communities between five salt marshes along the US East Coast to examine the roles that dispersal and environmental selection play in driving microbial community dynamics using bacterial v4v5 16S rRNA tag sequencing.,34.72,-76.68,North Carolina,1.05E-05,0179375d-1189-4ce4-8a1a-cad25b89435d,16s SSU,
,,wetland,sediment,Reciprocal transplantation experiment of salt marsh sediments Targeted loci,A reciprocal transplant experiment of rhizome associated bacterial communities between five salt marshes along the US East Coast to examine the roles that dispersal and environmental selection play in driving microbial community dynamics using bacterial v4v5 16S rRNA tag sequencing.,39.09,-75.44,Deleware,6.12E-06,0179375d-1189-4ce4-8a1a-cad25b89435d,16s SSU,
,,freshwater,sediment,"Bacterial and fungal diversity in Ashumet Pond, MA (USA), and prevalence of manganese-oxidizing isolates","Distinct black manganese oxide mineral coatings have long been observed on a portion of the shores of Ashumet Pond, a freshwater pond impacted by heavily contaminated groundwater emanating from a nearby decommissioned wastewater treatment facility. The goal of this study is to identify the microbial communities contributing to the biogeochemical cycling of Mn, and thus to the remediation of metals and organics in this environment.",41.63,-70.54,Massachussetts,0.001815981,a92bba18-07cc-42d2-aa50-891bcd2084c7,16s SSU,
,,wetland,sediment,Little Sippewissett Marsh Targeted Locus (Loci),Anthropogenic impacts and fecal populations at Little Sippewissett Marsh.,41.57,-70.64,Falmouth,6.52E-05,a0fd78d0-6805-44ea-a9b9-ee19b710b722,16s SSU,
,,wetland,sediment,Little Sippewissett Marsh Targeted Locus (Loci),Anthropogenic impacts and fecal populations at Little Sippewissett Marsh.,41.58,-70.64,Falmouth,5.24E-05,a0fd78d0-6805-44ea-a9b9-ee19b710b722,16s SSU,
,,marine,fluids,Comparative 16S analysis of hydrothermal vent samples from the Mid-Atlantic Ridge (MAR),The samples were collected as part of a comparative 16S amplicon sequencing-based analysis of hydrothermal vent samples from the Mid-Atlantic Ridge (MAR),5.37,-16.38,NA,3.45E-07,bcaf4baa-1b17-4469-a34f-d7091b806c42,16s SSU,
,,lake,sediment,Boreal lake sediment 16S rRNA gene amplicon (454-pyrosequencing) raw sequence reads,Boreal lake sediment 16S rRNA gene amplicons,61.1,24.97,NA,0.003030024,ca6a9d5e-1136-45ca-976e-747356122081,16s SSU,
,,lake,sediment,Boreal lake sediment 16S rRNA gene amplicon (454-pyrosequencing) raw sequence reads,Boreal lake sediment 16S rRNA gene amplicons,61.13,24.81,NA,0.005484599,ca6a9d5e-1136-45ca-976e-747356122081,16s SSU,
,,lake,sediment,Boreal lake sediment 16S rRNA gene amplicon (454-pyrosequencing) raw sequence reads,Boreal lake sediment 16S rRNA gene amplicons,61.17,24.79,NA,0.001427212,ca6a9d5e-1136-45ca-976e-747356122081,16s SSU,
,,marine,fluids,Bacterial 16s Amplicon Sequencing of the Atlantic Ocean,"Latitudinal transect of the Atlantic Ocean, depth range from 20-200m, size fractioned by filtering (0.22, 3, 8 µm). Amplicon Sequencing of the V5-V6 region of the bacterial 16s rRNA Gene.",35.24,-12.9,NA,7.91E-06,06fc84c8-f8e2-4ae9-a1ff-2020ad3bae29,16s SSU,
,,marine,sediment,Queensland Marine Sediment,Characterization of bacterial communities in marine sediments from Gladstone and Heron Island,-23.75,151.37,Queensland,8.04E-07,2d7d2171-29ca-45b1-b98e-c90c813b302d,16s SSU,
"Fe, As-rich",,groundwater,sediment,"Molecular Characterization of the Structural and Functional Microbial Community in Sediments of a Northern Utah, Basin-Fill Aquifer",Characterization of arsenic and Fe(III) reducing microbial communities at the cache valley sites,41.73,-111.88,NA,0.013736802,5bef00c7-ccb1-4866-aee0-0d0532538190,16s SSU,
"Fe, As-rich",,groundwater,sediment,"Molecular Characterization of the Structural and Functional Microbial Community in Sediments of a Northern Utah, Basin-Fill Aquifer",Characterization of arsenic and Fe(III) reducing microbial communities at the cache valley sites,41.74,-111.87,NA,1.99E-04,5bef00c7-ccb1-4866-aee0-0d0532538190,16s SSU,
,,other,"sediment, fluids",Bacterial 16S rRNA and fungal ITS Metagenome,"The flooding crisis in Thailand in 2011 is one of the biggest recorded floods which caused enormous scale of damages to ecological and human habitats and public health concerns. In this study, bacterial and fungal diversity in sediments and waters collected from flooded areas in Bangkok and suburban covering residential, agricultural, and industrial areas were analyzed using high-throughput 454 pyrosequencing of 16S rRNA/ internal transcribed spacer sequences (ITS). Proximate phylogeny analysis showed differences in microbial distribution in water and sediment samples with variation in diversity profiles according to sampling locations.",13.9,100.62,NA,4.38E-06,0cb6de60-ff42-4bbc-9236-b119e85ff953,16s SSU,
cold,,permafrost,soil,Ice Wedge Polygon,"Frozen soil samples were collected that represent topographically high and low areas from basins of various ages around Barrow, Alaska. All of the sites are coordinated with portable or permanent Eddy covariance towers that have been used to study gas exchange. The samples were collected from several transects that include polygon rims and centers. At each site two cores were taken from rims and three from centers. The cores were approximately 25 cm deep, and so only include the active layer. Specifically samples were obtained from matching sets of polygon rims and centers from 3 different basins. This produced 24 samples: 3 basins x 2 types (rim/center) x 4 depths (6-10, 16-20, 26-30, 36-40cm). These were supplemented with smaller cores from additional basins: 3 basins x 2 types x 2 depths (6-10, 16-20cm). For the samples high refers to polygon rims, low to polygon centers. Additional abundant biological and chemical metadata have been collected for these samples.",71.22,-156.51,United States of America,2.89E-04,68675735-6211-4dbd-bc38-693d3d0b8051,16s SSU,
cold,,permafrost,soil,Ice Wedge Polygon,"Frozen soil samples were collected that represent topographically high and low areas from basins of various ages around Barrow, Alaska. All of the sites are coordinated with portable or permanent Eddy covariance towers that have been used to study gas exchange. The samples were collected from several transects that include polygon rims and centers. At each site two cores were taken from rims and three from centers. The cores were approximately 25 cm deep, and so only include the active layer. Specifically samples were obtained from matching sets of polygon rims and centers from 3 different basins. This produced 24 samples: 3 basins x 2 types (rim/center) x 4 depths (6-10, 16-20, 26-30, 36-40cm). These were supplemented with smaller cores from additional basins: 3 basins x 2 types x 2 depths (6-10, 16-20cm). For the samples high refers to polygon rims, low to polygon centers. Additional abundant biological and chemical metadata have been collected for these samples.",71.25,-156.59,United States of America,7.93E-04,68675735-6211-4dbd-bc38-693d3d0b8051,16s SSU,
cold,,permafrost,soil,Ice Wedge Polygon,"Frozen soil samples were collected that represent topographically high and low areas from basins of various ages around Barrow, Alaska. All of the sites are coordinated with portable or permanent Eddy covariance towers that have been used to study gas exchange. The samples were collected from several transects that include polygon rims and centers. At each site two cores were taken from rims and three from centers. The cores were approximately 25 cm deep, and so only include the active layer. Specifically samples were obtained from matching sets of polygon rims and centers from 3 different basins. This produced 24 samples: 3 basins x 2 types (rim/center) x 4 depths (6-10, 16-20, 26-30, 36-40cm). These were supplemented with smaller cores from additional basins: 3 basins x 2 types x 2 depths (6-10, 16-20cm). For the samples high refers to polygon rims, low to polygon centers. Additional abundant biological and chemical metadata have been collected for these samples.",71.25,-156.54,United States of America,3.99E-04,68675735-6211-4dbd-bc38-693d3d0b8051,16s SSU,
cold,,permafrost,soil,Ice Wedge Polygon,"Frozen soil samples were collected that represent topographically high and low areas from basins of various ages around Barrow, Alaska. All of the sites are coordinated with portable or permanent Eddy covariance towers that have been used to study gas exchange. The samples were collected from several transects that include polygon rims and centers. At each site two cores were taken from rims and three from centers. The cores were approximately 25 cm deep, and so only include the active layer. Specifically samples were obtained from matching sets of polygon rims and centers from 3 different basins. This produced 24 samples: 3 basins x 2 types (rim/center) x 4 depths (6-10, 16-20, 26-30, 36-40cm). These were supplemented with smaller cores from additional basins: 3 basins x 2 types x 2 depths (6-10, 16-20cm). For the samples high refers to polygon rims, low to polygon centers. Additional abundant biological and chemical metadata have been collected for these samples.",71.25,-156.42,United States of America,6.75E-05,68675735-6211-4dbd-bc38-693d3d0b8051,16s SSU,
cold,,permafrost,soil,Ice Wedge Polygon,"Frozen soil samples were collected that represent topographically high and low areas from basins of various ages around Barrow, Alaska. All of the sites are coordinated with portable or permanent Eddy covariance towers that have been used to study gas exchange. The samples were collected from several transects that include polygon rims and centers. At each site two cores were taken from rims and three from centers. The cores were approximately 25 cm deep, and so only include the active layer. Specifically samples were obtained from matching sets of polygon rims and centers from 3 different basins. This produced 24 samples: 3 basins x 2 types (rim/center) x 4 depths (6-10, 16-20, 26-30, 36-40cm). These were supplemented with smaller cores from additional basins: 3 basins x 2 types x 2 depths (6-10, 16-20cm). For the samples high refers to polygon rims, low to polygon centers. Additional abundant biological and chemical metadata have been collected for these samples.",71.25,-156.39,United States of America,0.001953251,68675735-6211-4dbd-bc38-693d3d0b8051,16s SSU,
cold,,permafrost,soil,Ice Wedge Polygon,"Frozen soil samples were collected that represent topographically high and low areas from basins of various ages around Barrow, Alaska. All of the sites are coordinated with portable or permanent Eddy covariance towers that have been used to study gas exchange. The samples were collected from several transects that include polygon rims and centers. At each site two cores were taken from rims and three from centers. The cores were approximately 25 cm deep, and so only include the active layer. Specifically samples were obtained from matching sets of polygon rims and centers from 3 different basins. This produced 24 samples: 3 basins x 2 types (rim/center) x 4 depths (6-10, 16-20, 26-30, 36-40cm). These were supplemented with smaller cores from additional basins: 3 basins x 2 types x 2 depths (6-10, 16-20cm). For the samples high refers to polygon rims, low to polygon centers. Additional abundant biological and chemical metadata have been collected for these samples.",71.26,-156.59,United States of America,9.16E-04,68675735-6211-4dbd-bc38-693d3d0b8051,16s SSU,
,,other,soil,Bacerial and archaeal diversity in Central Park,"Soil biota play key roles in the functioning of terrestrial ecosystems, however, compared to our knowledge of aboveground plant and animal diversity, the biodiversity found in soils remains largely uncharacterized. Here we present an assessment of soil biodiversity and biogeographical patterns across Central Park in New York City that spanned all three domains of life, demonstrating that even an urban, managed system can harbor large amounts of undescribed soil biodiversity. Despite high variability across the Park, belowground diversity patterns were predictable based on soil characteristics, with prokaryotic and eukaryotic communities exhibiting overlapping biogeographical patterns. Further, Central Park soils harbored nearly as many distinct soil microbial taxa and types of soil communities as we found in biomes across the globe (including arctic, tropical and desert soils). This integrated cross-domain investigation highlights that the amount and patterning of novel and uncharacterized diversity at a single urban location matches that observed across natural ecosystems spanning multiple biomes and continents. Our data therefore suggest that the dominant factors controlling soil biodiversity differ markedly to those controlling aboveground plant and animal diversity.",40.77,-73.97,United States of America,2.77E-05,4a2b864b-f3b8-4964-8147-c28e7f73499e,16s SSU,
,,other,soil,Bacerial and archaeal diversity in Central Park,"Soil biota play key roles in the functioning of terrestrial ecosystems, however, compared to our knowledge of aboveground plant and animal diversity, the biodiversity found in soils remains largely uncharacterized. Here we present an assessment of soil biodiversity and biogeographical patterns across Central Park in New York City that spanned all three domains of life, demonstrating that even an urban, managed system can harbor large amounts of undescribed soil biodiversity. Despite high variability across the Park, belowground diversity patterns were predictable based on soil characteristics, with prokaryotic and eukaryotic communities exhibiting overlapping biogeographical patterns. Further, Central Park soils harbored nearly as many distinct soil microbial taxa and types of soil communities as we found in biomes across the globe (including arctic, tropical and desert soils). This integrated cross-domain investigation highlights that the amount and patterning of novel and uncharacterized diversity at a single urban location matches that observed across natural ecosystems spanning multiple biomes and continents. Our data therefore suggest that the dominant factors controlling soil biodiversity differ markedly to those controlling aboveground plant and animal diversity.",40.77,73.96,United States of America,1.26E-05,4a2b864b-f3b8-4964-8147-c28e7f73499e,16s SSU,
,,other,soil,Bacerial and archaeal diversity in Central Park,"Soil biota play key roles in the functioning of terrestrial ecosystems, however, compared to our knowledge of aboveground plant and animal diversity, the biodiversity found in soils remains largely uncharacterized. Here we present an assessment of soil biodiversity and biogeographical patterns across Central Park in New York City that spanned all three domains of life, demonstrating that even an urban, managed system can harbor large amounts of undescribed soil biodiversity. Despite high variability across the Park, belowground diversity patterns were predictable based on soil characteristics, with prokaryotic and eukaryotic communities exhibiting overlapping biogeographical patterns. Further, Central Park soils harbored nearly as many distinct soil microbial taxa and types of soil communities as we found in biomes across the globe (including arctic, tropical and desert soils). This integrated cross-domain investigation highlights that the amount and patterning of novel and uncharacterized diversity at a single urban location matches that observed across natural ecosystems spanning multiple biomes and continents. Our data therefore suggest that the dominant factors controlling soil biodiversity differ markedly to those controlling aboveground plant and animal diversity.",40.78,-73.97,United States of America,2.19E-05,4a2b864b-f3b8-4964-8147-c28e7f73499e,16s SSU,
,,other,soil,Bacerial and archaeal diversity in Central Park,"Soil biota play key roles in the functioning of terrestrial ecosystems, however, compared to our knowledge of aboveground plant and animal diversity, the biodiversity found in soils remains largely uncharacterized. Here we present an assessment of soil biodiversity and biogeographical patterns across Central Park in New York City that spanned all three domains of life, demonstrating that even an urban, managed system can harbor large amounts of undescribed soil biodiversity. Despite high variability across the Park, belowground diversity patterns were predictable based on soil characteristics, with prokaryotic and eukaryotic communities exhibiting overlapping biogeographical patterns. Further, Central Park soils harbored nearly as many distinct soil microbial taxa and types of soil communities as we found in biomes across the globe (including arctic, tropical and desert soils). This integrated cross-domain investigation highlights that the amount and patterning of novel and uncharacterized diversity at a single urban location matches that observed across natural ecosystems spanning multiple biomes and continents. Our data therefore suggest that the dominant factors controlling soil biodiversity differ markedly to those controlling aboveground plant and animal diversity.",40.78,-73.96,United States of America,3.46E-05,4a2b864b-f3b8-4964-8147-c28e7f73499e,16s SSU,
,,other,soil,Bacerial and archaeal diversity in Central Park,"Soil biota play key roles in the functioning of terrestrial ecosystems, however, compared to our knowledge of aboveground plant and animal diversity, the biodiversity found in soils remains largely uncharacterized. Here we present an assessment of soil biodiversity and biogeographical patterns across Central Park in New York City that spanned all three domains of life, demonstrating that even an urban, managed system can harbor large amounts of undescribed soil biodiversity. Despite high variability across the Park, belowground diversity patterns were predictable based on soil characteristics, with prokaryotic and eukaryotic communities exhibiting overlapping biogeographical patterns. Further, Central Park soils harbored nearly as many distinct soil microbial taxa and types of soil communities as we found in biomes across the globe (including arctic, tropical and desert soils). This integrated cross-domain investigation highlights that the amount and patterning of novel and uncharacterized diversity at a single urban location matches that observed across natural ecosystems spanning multiple biomes and continents. Our data therefore suggest that the dominant factors controlling soil biodiversity differ markedly to those controlling aboveground plant and animal diversity.",40.79,-73.96,United States of America,1.52E-05,4a2b864b-f3b8-4964-8147-c28e7f73499e,16s SSU,
,,other,soil,Bacerial and archaeal diversity in Central Park,"Soil biota play key roles in the functioning of terrestrial ecosystems, however, compared to our knowledge of aboveground plant and animal diversity, the biodiversity found in soils remains largely uncharacterized. Here we present an assessment of soil biodiversity and biogeographical patterns across Central Park in New York City that spanned all three domains of life, demonstrating that even an urban, managed system can harbor large amounts of undescribed soil biodiversity. Despite high variability across the Park, belowground diversity patterns were predictable based on soil characteristics, with prokaryotic and eukaryotic communities exhibiting overlapping biogeographical patterns. Further, Central Park soils harbored nearly as many distinct soil microbial taxa and types of soil communities as we found in biomes across the globe (including arctic, tropical and desert soils). This integrated cross-domain investigation highlights that the amount and patterning of novel and uncharacterized diversity at a single urban location matches that observed across natural ecosystems spanning multiple biomes and continents. Our data therefore suggest that the dominant factors controlling soil biodiversity differ markedly to those controlling aboveground plant and animal diversity.",40.8,-73.96,United States of America,3.67E-05,4a2b864b-f3b8-4964-8147-c28e7f73499e,16s SSU,
cold,,lake,sediment,Sulfuricella denitrificans skB26,Complete genomes of freshwater sulfur oxidizers Sulfuricella denitrificans skB26 and Sulfuritalea hydrogenivorans sk43H: genetic insights into the sulfur oxidation pathway of betaproteobacteria,35.86,138.5,Japan,,,isolate,https://gtdb.ecogenomic.org/genomes?gid=GCF_000297055.2
,,lake,sediment,Sulfuricella sp. T08,"Draft Genome Sequence of a Sulfur-Oxidizing Autotroph,�Sulfuricella�sp. Strain T08, Isolated from a Freshwater Lake",42.8,141.25,Japan,,,isolate,https://gtdb.ecogenomic.org/genomes?gid=GCF_000971475.1
,subsurface,groundwater,fluids,Betaproteobacteria bacterium CG2_30_59_46,Genomic resolution of a cold subsurface aquifer community provides metabolic insights for novel microbes adapted to high CO2�concentrations,38.56,-110.8,United States of America,,,MAG,https://gtdb.ecogenomic.org/genomes?gid=GCA_001871385.1
,subsurface,groundwater,fluids,Hydrogenophilales bacterium CG18_big_fil_WC_8_21_14_2_50_58_12,Differential depth distribution of microbial function and putative symbionts through sediment-hosted aquifers in the deep terrestrial subsurface.,38.56,-110.8,United States of America,,,MAG,https://gtdb.ecogenomic.org/genomes?gid=GCA_002770925.1
,subsurface,groundwater,fluids,Hydrogenophilales bacterium CG_4_10_14_3_um_filter_58_23,Differential depth distribution of microbial function and putative symbionts through sediment-hosted aquifers in the deep terrestrial subsurface.,38.56,#FIELD!,United States of America,,,MAG,https://gtdb.ecogenomic.org/genomes?gid=GCA_002784065.1
,subsurface,groundwater,fluids,Hydrogenophilales bacterium CG_4_9_14_3_um_filter_59_35,Differential depth distribution of microbial function and putative symbionts through sediment-hosted aquifers in the deep terrestrial subsurface.,38.56,-110.8,United States of America,,,MAG,https://gtdb.ecogenomic.org/genomes?gid=GCA_002790295.1
,surface,freshwater,sediment,Sulfuricella denitrificans,Mimicking microbial interactions under nitrate_reducing conditions in an anoxic bioreactor: enrichment of novel Nitrospirae bacteria distantly related to�Thermodesulfovibrio,52.22,6.41,Netherlands,,,MAG,https://gtdb.ecogenomic.org/genomes?gid=GCA_002632355.1
,surface,freshwater,sediment,Nitrosomonadales bacterium,A methanotrophic archaeon couples anaerobic oxidation of methane to Fe(III) reduction.,-27.46,152.89,Australia,,,MAG,https://gtdb.ecogenomic.org/genomes?gid=GCA_003104895.1
